SPEC CPU 2006,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
400.perlbench,665,"796,1",1597,"4390,46"
401.bzip2,"611,5","615,6","220,96","572,39"
403.gcc,"97,3","197,5","4430,49","10520,67"
429.mcf,1678,1680,"21,35","51,59"
445.gobmk,31,"35,4","2643,34","5015,06"
456.hmmer,"5,2","9,5","276,26","757,55"
458.sjeng,"176,5","178,9","162,97","302,06"
462.libquantum,98,"912,8","52,76","71,67"
464.h264ref,"66,2","542,6","1568,14","5548,37"
471.omnetpp,172,"209,5","745,02","1511,26"
473.astar,"135,2","146,2","43,64","78,61"
483.xalancbmk,"420,4","643,1","3781,4","9661,72"
433.milc,"681,2","4078,8","223,42","612,94"
444.namd,"49,1","51,2","783,35","1901,56"
447.dealII,"795,9","1233,7","1268,18","3617,71"
450.soplex,"424,7","695,3","797,97","2454,13"
453.povray,"8,6","13,1","1764,53","3850,88"
470.lbm,"410,9","412,8","26,64","39,03"
482.sphinx3,"44,6","71,8","359,88","984,68"
SPECspeed 2017,Baseline peak RSS (MB),\NOOB peak RSS,Baseline \texttt{.text} size (KB),\NOOB \texttt{.text} size (KB)
600.perlbench_s,"90,7","115,4","2678,35","6233,61"
602.gcc_s,"3102,6","3568,5","11320,87","26736,46"
605.mcf_s,"3961,5","12587,8","53,97","140,31"
620.omnetpp_s,"242,6",283,"2015,01","3943,44"
623.xalancbmk_s,"480,7","703,1","5429,78","17742,96"
625.x264_s,157,"162,2","1125,27","2706,25"
631.deepsjeng_s,"6881,9","6882,2","127,17","207,57"
641.leela_s,"25,9","31,7","185,33","347,7"
657.xz_s,"4201,9","4837,2","215,99","475,37"
619.lbm_s,"3224,7","3226,6","30,28","41,38"
638.imagick_s,"7008,5","8379,4","3146,04","6412,95"
644.nab_s,"558,1","732,5","379,82","686,14"